	Coordinates	created_at	source	text	user
0		Wed Jul 04 11:48:40 +0000 2018	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	RT @TradeRiser: TradeRiser is offering a large bonus to anyone who purchases XTI tokens from now on, this is limited!. Make sure you don't…	@TANYAALZOKZNI
1		Wed Jul 04 11:48:40 +0000 2018	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	RT @andresvilarino: Can #MarkovLogic Take #MachineLearning to the Next Level? https://t.co/XjyLs1WtHM #ML #data #BigData #BD #DeepLearning…	@afigueiredo
2		Wed Jul 04 11:48:41 +0000 2018	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	RT @ubinetus: UbiNET issues two cryptocurrencies the #ThingCoin and #Futurist #IoT #BlockChain #Agile #DevOps #UX #CX #KarlSmith  https://t…	@romainesikorsk4
3		Wed Jul 04 11:48:41 +0000 2018	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	“Automated Machine Learning Hyperparameter Tuning in Python” by @koehrsen_will https://t.co/Ma2hSo4CXS	@tiagotvv
4		Wed Jul 04 11:48:43 +0000 2018	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	RT @ubinetus: Situational awareness drives the IoT ecosystems and #Futurist #IoT #BlockChain #Agile #DevOps #UX #CX #KarlSmith  https://t.c…	@elisegood12
5		Wed Jul 04 11:48:44 +0000 2018	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	Blockchain and big data can help grocers deliver fresher produce https://t.co/qoMfz785Ov	@ajeetkt
6		Wed Jul 04 11:48:44 +0000 2018	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	We are still looking for a python web application developer #job #python  Read our job posting at https://t.co/ID9VNMBHxn	@wienfluss
7		Wed Jul 04 11:48:46 +0000 2018	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	RT @Textkernel: We've launched our Jobfeed Big Data tool in @BullhornUK! @JobfeedUK gives recruiters access to the entire online job market…	@philipvleeuwen
8		Wed Jul 04 11:48:47 +0000 2018	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>"	RT @UserExperienceU: #IoT #Products for the IoT #Economy, its all about #Productization #Futurist #IoT #BlockChain #Agile #DevOps  https://…	@marthco18324411
9		Wed Jul 04 11:48:47 +0000 2018	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	RT @GoogleForEdu: Hungry for machine learning education resources? Check out Learn with Google AI, @google’s online hub for educational res…	@tbmreza46
